"","ageMonths",thetaEstimate,roarScore,standardScore,percentile
"410","75",0.3,520,118,89
"411","75",0.4,527,119,90
"412","75",0.5,533,121,92
"413","75",0.6,540,122,93
"414","75",0.7,547,123,94
"415","75",0.8,553,125,95
"416","75",0.9,560,126,96
"417","75",1,567,128,97
"418","75",1.1,573,130,98
"419","75",1.2,580,131,98
"420","75",1.3,587,133,98
"421","75",1.4,593,135,99
"422","75",1.5,600,>135,>99
"423","75",1.6,607,>135,>99
"424","75",1.7,613,>135,>99
"425","75",1.8,620,>135,>99
"426","75",1.9,627,>135,>99
"427","75",2,633,>135,>99
"428","75",2.1,640,>135,>99
"429","75",2.2,647,>135,>99
"430","75",2.3,653,>135,>99
"431","75",2.4,660,>135,>99
"432","75",2.5,667,>135,>99
"433","75",2.6,673,>135,>99
"434","75",2.7,680,>135,>99
"435","75",2.8,687,>135,>99
"436","75",2.9,693,>135,>99
"437","75",3,700,>135,>99
"438","75",3.1,707,>135,>99
"439","75",3.2,713,>135,>99
"440","75",3.3,720,>135,>99
"441","75",3.4,727,>135,>99
"442","75",3.5,733,>135,>99
"443","75",3.6,740,>135,>99
"444","75",3.7,747,>135,>99
"445","75",3.8,753,>135,>99
"446","75",3.9,760,>135,>99
"447","75",4,767,>135,>99
"448","75",4.1,773,>135,>99
"449","75",4.2,780,>135,>99
"450","75",4.3,787,>135,>99
"451","75",4.4,793,>135,>99
"452","75",4.5,800,>135,>99
"10849","168",-6.7,53,<65,<1
"10850","168",-6.6,60,<65,<1
"10851","168",-6.5,67,<65,<1
"10852","168",-6.4,73,<65,<1
"10853","168",-6.3,80,<65,<1
"10854","168",-6.2,87,<65,<1
"10855","168",-6.1,93,<65,<1
"10856","168",-6,100,<65,<1
"10857","168",-5.9,107,<65,<1
"10858","168",-5.8,113,<65,<1
"10859","168",-5.7,120,<65,<1
"10860","168",-5.6,127,<65,<1
"10861","168",-5.5,133,<65,<1
"10862","168",-5.4,140,<65,<1
"10863","168",-5.3,147,<65,<1
"10864","168",-5.2,153,<65,<1
"10865","168",-5.1,160,<65,<1
"10866","168",-5,167,<65,<1
"10867","168",-4.9,173,<65,<1
"10868","168",-4.8,180,<65,<1
"10869","168",-4.7,187,<65,<1
"10870","168",-4.6,193,<65,<1
"10871","168",-4.5,200,<65,<1
"10872","168",-4.4,207,<65,<1
"10873","168",-4.3,213,<65,<1
"10874","168",-4.2,220,<65,<1
"10875","168",-4.1,227,<65,<1
"10876","168",-4,233,<65,<1
"10877","168",-3.9,240,<65,<1
"10878","168",-3.8,247,<65,<1
"10879","168",-3.7,253,<65,<1
"10880","168",-3.6,260,<65,<1
"10881","168",-3.5,267,<65,<1
"10882","168",-3.4,273,<65,<1
"10883","168",-3.3,280,<65,<1
"10884","168",-3.2,287,<65,<1
"10885","168",-3.1,293,<65,<1
"10886","168",-3,300,<65,<1
"10887","168",-2.9,307,<65,<1
"10888","168",-2.8,313,<65,<1
"10889","168",-2.7,320,<65,<1
"10890","168",-2.6,327,<65,<1
"10891","168",-2.5,333,<65,<1
"10892","168",-2.4,340,<65,<1
"10893","168",-2.3,347,<65,<1
"10894","168",-2.2,353,<65,<1
"10895","168",-2.1,360,<65,<1
"10896","168",-2,367,<65,<1
"10897","168",-1.9,373,65,1
"10898","168",-1.8,380,66,1
"10899","168",-1.7,387,66,1
"10900","168",-1.6,393,67,2
"10901","168",-1.5,400,68,2
