target,distractor1,distractor2,distractor3,audioFile,audioUrl,corpusId,composite.a,composite.b,composite.c,composite.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d
j,i,m,b,jPhoneme,https://storage.googleapis.com/roar-ak/en/shared/jPhoneme.mp3,letterPhoneme,1.0,-2.16549158882322,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.16549158882322,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
k,a,s,w,kPhoneme,https://storage.googleapis.com/roar-ak/en/shared/kPhoneme.mp3,letterPhoneme,1.0,-2.04912075568287,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.04912075568287,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
l,e,b,f,lPhoneme,https://storage.googleapis.com/roar-ak/en/shared/lPhoneme.mp3,letterPhoneme,1.0,-1.53750482913018,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.53750482913018,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
m,i,t,p,mPhoneme,https://storage.googleapis.com/roar-ak/en/shared/mPhoneme.mp3,letterPhoneme,1.0,-3.1721756446392,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.1721756446392,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
n,o,z,d,nPhoneme,https://storage.googleapis.com/roar-ak/en/shared/nPhoneme.mp3,letterPhoneme,1.0,-2.3596302569596,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.3596302569596,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
p,i,g,t,pPhoneme,https://storage.googleapis.com/roar-ak/en/shared/pPhoneme.mp3,letterPhoneme,1.0,-1.55690963798508,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.55690963798508,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
r,u,s,m,rPhoneme,https://storage.googleapis.com/roar-ak/en/shared/rPhoneme.mp3,letterPhoneme,1.0,-2.20541069373506,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.20541069373506,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
s,e,m,p,sPhoneme,https://storage.googleapis.com/roar-ak/en/shared/sPhoneme.mp3,letterPhoneme,1.0,-2.87978882551603,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.87978882551603,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
t,a,r,m,tPhoneme,https://storage.googleapis.com/roar-ak/en/shared/tPhoneme.mp3,letterPhoneme,1.0,-3.1064371033358,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.1064371033358,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
v,o,j,r,vPhoneme,https://storage.googleapis.com/roar-ak/en/shared/vPhoneme.mp3,letterPhoneme,1.0,-1.69211913446171,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.69211913446171,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
w,u,m,l,wPhoneme,https://storage.googleapis.com/roar-ak/en/shared/wPhoneme.mp3,letterPhoneme,1.0,-1.40678907309289,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.40678907309289,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
x,e,d,h,xPhoneme,https://storage.googleapis.com/roar-ak/en/shared/xPhoneme.mp3,letterPhoneme,1.0,-3.07058050111617,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.07058050111617,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
y,o,k,r,yPhoneme,https://storage.googleapis.com/roar-ak/en/shared/yPhoneme.mp3,letterPhoneme,1.0,-2.2925063393172,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.2925063393172,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
z,u,l,t,zPhoneme,https://storage.googleapis.com/roar-ak/en/shared/zPhoneme.mp3,letterPhoneme,1.0,-3.28723933716245,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.28723933716245,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
ch,oo,ck,qu,chPhoneme,https://storage.googleapis.com/roar-ak/en/shared/chPhoneme.mp3,letterPhoneme,1.0,0.753114165428272,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.753114165428272,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
sh,qu,ck,ch,shPhoneme,https://storage.googleapis.com/roar-ak/en/shared/shPhoneme.mp3,letterPhoneme,1.0,-0.810242646927803,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-0.810242646927803,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
th,ck,ch,qu,thUnvoicedPhoneme,https://storage.googleapis.com/roar-ak/en/shared/thUnvoicedPhoneme.mp3,letterPhoneme,1.0,0.970703307801047,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.970703307801047,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
qu,th,ch,sh,quPhoneme,https://storage.googleapis.com/roar-ak/en/shared/quPhoneme.mp3,letterPhoneme,1.0,-1.86678038108298,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.86678038108298,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
oo,th,ch,sh,ooShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/ooShortPhoneme.mp3,letterPhoneme,1.0,-1.15631505771242,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.15631505771242,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
oo,ck,sh,th,ooLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/ooLongPhoneme.mp3,letterPhoneme,1.0,-1.31719368431735,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.31719368431735,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
