,word,b_i,realpseudo,block,order,log_difficulty
64,we,-0.944458411947397,real,A,2,1.905230555248812
65,however,-0.907727872665288,real,A,9,1.8997504913159127
66,guess,-0.895508624579059,real,A,26,1.897920746225717
67,arm,-0.77828489756537,real,A,16,1.8801950863957946
68,pickle,-0.703807374685573,real,A,12,1.8687677258655313
69,liberty,-0.635662611186618,real,A,8,1.8581963748200692
70,sit,-0.630874347143401,real,A,77,1.8574493485685721
71,invent,-0.464898327329723,real,A,33,1.831204022121574
72,custom,-0.451862987589354,real,A,19,1.829113308897896
73,shine,-0.371542477341015,real,A,7,1.816133505277859
74,elements,-0.313697414363787,real,A,14,1.8066802656620264
75,describe,-0.271727267470209,real,A,27,1.799764982170774
76,reverse,-0.254358166607435,real,A,34,1.7968890828343784
77,whose,-0.0014485997479137,real,A,36,1.7540484619424137
78,purchase,0.0698034001554938,real,A,29,1.7416400800757637
79,resolve,0.148290433115987,real,A,13,1.7277911243304878
80,dryer,0.513239705238382,real,A,32,1.6607503945496545
81,fatter,2.01333040014682,real,A,37,1.3252612060255646
82,testify,2.01534725997148,real,A,21,1.324725115055962
83,telescoped,2.126470680663,real,A,38,1.2947348136811194
84,jixel,-2.26716088667999,pseudo,B,53,2.0848841383025425
85,hu,-2.09916433641477,pseudo,B,39,2.063777362171975
86,ypla,-2.09437440747407,pseudo,B,40,2.0631689834006433
87,dolc,-1.85975147655416,pseudo,B,82,2.0329066535646363
88,nuf,-1.76815792083192,pseudo,B,81,2.020839565645805
89,asca,-1.74437998278612,pseudo,B,42,2.0176829624902024
90,spu,-1.68206713204638,pseudo,B,43,2.009363133134681
91,yos,-1.64845092826455,pseudo,B,60,2.0048458856421845
92,ge,-1.53507838821854,pseudo,B,54,1.9894589792513664
93,ot,-1.47197761300329,pseudo,B,41,1.9807912677399448
94,flankfopper,-1.39577080495763,pseudo,B,72,1.9702221169370446
95,mun,-1.36756628040933,pseudo,B,57,1.9662819237955076
96,imeyits,-1.34659313802634,pseudo,B,56,1.9633418624947363
97,destrifs,-1.12633898974357,pseudo,B,63,1.9319325703600387
98,throomba,-1.055976699003,pseudo,B,83,1.9216870219806466
99,unger,-0.968982397657013,pseudo,B,48,1.908872797220052
100,insows,-0.920781809029897,pseudo,B,55,1.9017015332489913
101,germantia,-0.771772963507214,pseudo,B,47,1.8792011297078508
102,mannanency,-0.742872547739499,pseudo,B,69,1.8747779198643881
103,baafness,-0.701549634142866,pseudo,B,62,1.868419264859912
104,benon,-0.436166241835444,pseudo,B,59,1.826589923194988
105,ablood,-0.432999724812112,pseudo,B,73,1.82608010585399
106,ase,-0.369384491459223,pseudo,B,52,1.8157824398445293
107,lant,-0.36506454255314,pseudo,B,61,1.815079291442568
108,bove,-0.344902244901223,pseudo,B,46,1.811790964757955
109,besime,-0.258768097588628,pseudo,B,68,1.7976200435606933
110,clomify,-0.0986618404470931,pseudo,B,50,1.7707333667949747
111,speveal,-0.0467686401897806,pseudo,B,65,1.7618614838122808
112,mout,0.169575437602062,pseudo,B,70,1.7240021112127886
113,charks,0.205753171837554,pseudo,B,51,1.7175288721213462
114,cotplicant,0.361499826193948,pseudo,B,49,1.6891726519750463
115,mich,0.382236413526959,pseudo,B,66,1.6853358285529008
116,chareet,0.432143352898773,pseudo,B,84,1.676040907843817
117,sids,0.602666809355553,pseudo,B,71,1.6436135706010937
118,sain,0.642272366950936,pseudo,B,44,1.6359291449833007
119,fite,0.926976638814995,pseudo,B,67,1.5788801331163431
120,roder,0.996288972091326,pseudo,B,58,1.5644843984487355
121,shring,1.0975624837872,pseudo,B,45,1.543070756137713
122,wase,1.36735169549816,pseudo,B,64,1.4836812225565918
123,complase,2.06365730913132,pseudo,B,74,1.3117974271374118
124,mader,2.24423521844922,pseudo,B,76,1.261938846931441
125,shink,3.05357447369152,pseudo,B,75,1.00170634525141
126,time,-2.55426856282616,real,B,1,2.11995554699377
127,light,-2.24840235971776,real,B,30,2.0825493260992807
128,moon,-2.20349969961404,real,B,3,2.0769381970005742
129,come,-2.18036509623522,real,B,6,2.074034912819904
130,number,-2.16315992600273,real,B,18,2.071870266146376
131,fun,-2.15531628772088,real,B,77,2.0708818715938566
132,plays,-1.96078318522954,real,B,2,2.0460504339575087
133,bathroom,-1.86155349782323,real,B,79,2.0331426082104795
134,teacher,-1.84962757373782,real,B,80,2.0315800050598734
135,cold,-1.81066633542479,real,B,78,2.0264579938830884
136,give,-1.79151778047418,real,B,20,2.023930994730906
137,toy,-1.77097330395752,real,B,7,2.021212658569894
138,long,-1.73721719845981,real,B,9,2.01673012203477
139,great,-1.72271529803593,real,B,28,2.014798199985069
140,brush,-1.67376058044114,real,B,34,2.008248819628984
141,truck,-1.65977812914659,real,B,23,2.0063702824713734
142,wood,-1.6528494623788,real,B,24,2.0054381094376876
143,into,-1.6492475722714,real,B,15,2.0049531727383396
144,went,-1.55796445663095,real,B,19,1.992584204500534
145,animal,-1.50761795243507,real,B,12,1.9856961613833446
146,understand,-1.4921258853231,real,B,17,1.983567067909146
147,tried,-1.46781717976689,real,B,25,1.9802171294567092
148,street,-1.44543913764889,real,B,35,1.9771233000868673
149,left,-1.4258062504115,real,B,4,1.974401091378645
150,peace,-1.27868085886739,real,B,22,1.9537620205381538
151,hammer,-1.26493741655709,real,B,26,1.9518121274293843
152,farmer,-1.24598172604859,real,B,11,1.9491164768645024
153,pencil,-1.2049408745561,real,B,29,1.9432551223809709
154,building,-1.20231148706795,real,B,16,1.9428784260315561
155,plane,-1.08886274807912,real,B,5,1.9264886725129051
156,famous,-1.08518738793897,real,B,27,1.9259531807725612
157,natural,-1.06539952064586,real,B,10,1.9230651945462638
158,business,-0.867473497031534,real,B,31,1.8937099903601868
159,circus,-0.173150576153444,real,B,21,1.7833322539770293
160,jewel,0.250666868782037,real,B,13,1.7094337736676872
161,budget,0.462162245889742,real,B,14,1.6704081391051633
162,bangs,0.814082460551185,real,B,8,1.6018927447994584
163,doubtful,1.21099134582192,real,B,33,1.5185296235726815
164,pledge,1.66611529975048,real,B,32,1.4135162818815035
165,guarantee,1.73870027489801,real,B,36,1.3956995716616316
166,accustomed,2.11197632234993,real,B,37,1.2986979766748417
167,potent,3.81295906784085,real,B,38,0.6747487227403511
168,cok,-1.77369699414842,pseudo,C,42,2.021573467976349
169,gurynh,-1.6882240530458,pseudo,C,84,2.01018827585108
170,khtna,-1.59384315282982,pseudo,C,40,1.9974640744364038
171,orn,-1.5822986186674,pseudo,C,43,1.9958964965126627
172,che,-1.50577341011236,pseudo,C,53,1.9854429013075972
173,daople,-1.33064749190624,pseudo,C,57,1.9611007681420944
174,alk,-1.31931355508152,pseudo,C,48,1.9595047711601947
175,guoys,-1.27333817867137,pseudo,C,55,1.9530044630323842
176,eamn,-1.27120294675053,pseudo,C,82,1.9527015403672756
177,loleh,-1.24934854921847,pseudo,C,81,1.9495957970178155
178,twew,-1.20282670744401,pseudo,C,54,1.942952249699624
179,oban,-1.19895466615225,pseudo,C,50,1.942397308411689
180,utashing,-1.19688141584383,pseudo,C,60,1.942100043359473
181,phlere,-1.09999174363141,pseudo,C,56,1.9281083957136615
182,ap,-1.08846278191569,pseudo,C,39,1.9264304122415261
183,rebosks,-0.920966077559492,pseudo,C,59,1.9017290468043027
184,cas,-0.892723765808629,pseudo,C,49,1.897503264644037
185,collosks,-0.726752740027027,pseudo,C,65,1.8723022563046174
186,brubs,-0.690685155277507,pseudo,C,68,1.8667407346576597
187,cotosks,-0.684539320155132,pseudo,C,61,1.8657899719386872
188,dogo,-0.457959709059879,pseudo,C,83,1.8300916945310342
189,albust,-0.452296848470492,pseudo,C,62,1.8291829653822487
190,runey,-0.386276743726266,pseudo,C,45,1.8185272171070495
191,hane,-0.382734102500184,pseudo,C,52,1.8179522067164158
192,liffs,-0.208147785247896,pseudo,C,67,1.789197251923329
193,fafever,-0.183258267774128,pseudo,C,41,1.785029684399506
194,pame,-0.180292371825058,pseudo,C,51,1.7845319066780188
195,duttery,-0.171659718237432,pseudo,C,63,1.783081643446093
196,scays,-0.129916559080709,pseudo,C,72,1.7760390734464675
197,molent,-0.0346150578163561,pseudo,C,66,1.7597722300868224
198,swane,0.0510231164146363,pseudo,C,44,1.744925597969248
199,banny,0.100408775572069,pseudo,C,64,1.7362625825366236
200,fistory,0.10974152082879,pseudo,C,71,1.7346170084651078
201,pealt,0.164625266901156,pseudo,C,58,1.7248845892992508
202,woft,0.290609790820102,pseudo,C,70,1.7021791221980702
203,drustion,0.360702510634718,pseudo,C,47,1.6893198831935052
204,slace,0.454181564478063,pseudo,C,46,1.671908739460076
205,naw,0.625086228327791,pseudo,C,73,1.6392709218654613
206,snose,0.954338926372905,pseudo,C,74,1.5732218904952
207,freat,0.987175464974314,pseudo,C,69,1.5663890912104335
208,chanding,1.20516297345199,pseudo,C,75,1.5198054194357855
209,rackle,1.40838891621403,pseudo,C,76,1.474330346362789
210,people,-2.6018908366958,real,C,2,2.1256557033832424
211,hello,-2.57954625112228,real,C,77,2.1229852098968314
212,good,-2.4683066019689,real,C,79,2.109583328195147
213,hot,-2.4014435853355,real,C,17,2.1014405510348055
214,open,-2.2783408910658,real,C,3,2.086273088441797
215,look,-2.22037175990102,real,C,4,2.0790502587495587
216,watch,-2.03846534080184,real,C,10,2.0560403483526235
217,money,-1.87777937353148,real,C,16,2.0352647023249872
218,round,-1.87676304072104,real,C,22,2.0351319137986783
219,more,-1.86659419043185,real,C,24,2.0338023353232804
220,name,-1.86332889715057,real,C,78,2.0333750225749014
221,hungry,-1.85248859933814,real,C,80,2.031955095767891
222,short,-1.79252959903312,real,C,29,2.024064682460582
223,him,-1.7824627662385,real,C,1,2.0227337938779635
224,candy,-1.66511852138321,real,C,5,2.0070881787714194
225,morning,-1.60753200451937,real,C,6,1.9993196404077844
226,almost,-1.56003420613352,real,C,30,1.992866359786892
