target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
S,R,Z,Q,sLetter,https://storage.googleapis.com/roar-ak/it/shared/sLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
T,D,I,H,tLetter,https://storage.googleapis.com/roar-ak/it/shared/tLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
U,O,V,B,uLetter,https://storage.googleapis.com/roar-ak/it/shared/uLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
V,F,U,Q,vLetter,https://storage.googleapis.com/roar-ak/it/shared/vLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
Z,S,N,A,zLetter,https://storage.googleapis.com/roar-ak/it/shared/zLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
t,b,c,o,tPhoneme,https://storage.googleapis.com/roar-ak/it/shared/tPhoneme.mp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,letterPhonemePractice
ca,che ,cu,sci,caPhoneme,https://storage.googleapis.com/roar-ak/it/shared/caPhoneme.mp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,letterPhonemePractice
a,e,d,l,aPhoneme,https://storage.googleapis.com/roar-ak/it/shared/aPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
e,i,o,r,ePhoneme,https://storage.googleapis.com/roar-ak/it/shared/ePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
i,e,l,h,iPhoneme,https://storage.googleapis.com/roar-ak/it/shared/iPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
o,u,q,s,oPhoneme,https://storage.googleapis.com/roar-ak/it/shared/oPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
u,o,v,g,uPhoneme,https://storage.googleapis.com/roar-ak/it/shared/uPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
e,a,c,g,eOpenPhoneme,https://storage.googleapis.com/roar-ak/it/shared/eOpenPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
o,d,l,i,oOpenPhoneme,https://storage.googleapis.com/roar-ak/it/shared/oOpenPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
b,f,i,d,bPhoneme,https://storage.googleapis.com/roar-ak/it/shared/bPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
d,b,t,u,dPhoneme,https://storage.googleapis.com/roar-ak/it/shared/dPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
f,v,t,e,fPhoneme,https://storage.googleapis.com/roar-ak/it/shared/fPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
l,m,i,o,lPhoneme,https://storage.googleapis.com/roar-ak/it/shared/lPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
m,l,w,p,mPhoneme,https://storage.googleapis.com/roar-ak/it/shared/mPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
n,m,h,a,nPhoneme,https://storage.googleapis.com/roar-ak/it/shared/nPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
p,b,g,r,pPhoneme,https://storage.googleapis.com/roar-ak/it/shared/pPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
r,v,i,e,rPhoneme,https://storage.googleapis.com/roar-ak/it/shared/rPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
s,r,z,u,sSordaPhoneme,https://storage.googleapis.com/roar-ak/it/shared/sSordaPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
s,t,c,n,sSonoraPhoneme,https://storage.googleapis.com/roar-ak/it/shared/sSonoraPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
t,d,f,i,tPhoneme,https://storage.googleapis.com/roar-ak/it/shared/tPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
v,f,u,g,vPhoneme,https://storage.googleapis.com/roar-ak/it/shared/vPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
z,d,a,r,zSordaPhoneme,https://storage.googleapis.com/roar-ak/it/shared/zSordaPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
z,s,t,p,zSonoraPhoneme,https://storage.googleapis.com/roar-ak/it/shared/zSonoraPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gn,gl,ga,ch,gnPhoneme,https://storage.googleapis.com/roar-ak/it/shared/gnPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gl,gn,gi,ce,glPhoneme,https://storage.googleapis.com/roar-ak/it/shared/glPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
sci,sce,ci,qu,sciPhoneme,https://storage.googleapis.com/roar-ak/it/shared/sciPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
