word,a,b,c,d,corpusId,realpseudo
perro,1,-2.23119219044954,0.5,1,spanish-random,real
puerga,1,-0.131916445276738,0.5,1,spanish-random,pseudo
rirra,1,-0.941619036577596,0.5,1,spanish-random,pseudo
vievo,1,-0.3403625660047,0.5,1,spanish-random,pseudo
arquiteturimo,1,1.27017450716334,0.5,1,spanish-random,pseudo
azul,1,-2.13324085917939,0.5,1,spanish-random,real
camisa,1,-2.12584780493182,0.5,1,spanish-random,real
carre,1,1.79838609117827,0.5,1,spanish-random,pseudo
dentesta,1,0.955218136516888,0.5,1,spanish-random,pseudo
dorcitorio,1,0.612047457574029,0.5,1,spanish-random,pseudo
escéptero,1,1.42633692874867,0.5,1,spanish-random,pseudo
foctor,1,0.328569247729551,0.5,1,spanish-random,pseudo
galleta,1,-1.57188929385805,0.5,1,spanish-random,real
lavar,1,-1.60589107736743,0.5,1,spanish-random,real
libro,1,-2.12718018241981,0.5,1,spanish-random,real
loer,1,-0.97010139610377,0.5,1,spanish-random,pseudo
pollo,1,-2.01597729839382,0.5,1,spanish-random,real
pombre,1,0.0485436081154716,0.5,1,spanish-random,pseudo
prío,1,-0.94299889676983,0.5,1,spanish-random,pseudo
queso,1,-1.57606999843279,0.5,1,spanish-random,real
quimoscó,1,-0.0837907150665859,0.5,1,spanish-random,pseudo
raca,1,0.125894286753928,0.5,1,spanish-random,pseudo
sescado,1,0.242800889189532,0.5,1,spanish-random,pseudo
verde,1,-1.69363148990005,0.5,1,spanish-random,real
yátelaré,1,-0.640831712123534,0.5,1,spanish-random,pseudo
bombero,1,0.176445557986308,0.5,1,spanish-random,real
cansado,1,-1.46063790693526,0.5,1,spanish-random,real
dormitorio,1,0.0734727649532358,0.5,1,spanish-random,real
mabro,1,-0.425857299789199,0.5,1,spanish-random,pseudo
rávido,1,-0.166953741780171,0.5,1,spanish-random,pseudo
selota,1,-0.667548724031613,0.5,1,spanish-random,pseudo
utímetro,1,1.46288260339664,0.5,1,spanish-random,pseudo
árbol,1,-1.71987859377622,0.5,1,spanish-random,real
acigo,1,-0.668810069009787,0.5,1,spanish-random,pseudo
añíl,1,-0.654494321203718,0.5,1,spanish-random,pseudo
caliente,1,-1.04387663097669,0.5,1,spanish-random,real
carmado,1,0.846451164216506,0.5,1,spanish-random,pseudo
